Zone,State,City,Name,Type,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Image URL,Destination,Mode of Transportation,Total Budget,Number of People Traveling
Southern,Kerala,Kochi,Wonderla Amusement Park,Amusement Park,5.5,4.6,751.0,Yes,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/b4/a3/72/flash-tower-is-a-shoot.jpg?w=1200&h=1200&s=1,,,,
Southern,Karnataka,Mysore,Mysore Palace,Palace,2.0,4.6,51.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Mysore_Palace_Morning.jpg/1200px-Mysore_Palace_Morning.jpg,,,,
Southern,Karnataka,Badami,Badami Cave Temples,Cave,1.5,4.6,31.0,No,https://upload.wikimedia.org/wikipedia/commons/7/7b/Vishnu_image_inside_cave_number_3_in_Badami.jpg,,,,
Southern,Karnataka,Shivamogga,Jog Falls,Waterfall,1.5,4.6,31.0,No,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Jog_Falls_05092016.jpg/1200px-Jog_Falls_05092016.jpg,,,,
Western,Maharastra,Aurangabad,Ajanta Caves,Cave,3.0,4.6,31.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Ajanta_%2863%29.jpg/300px-Ajanta_%2863%29.jpg,,,,
Western,Maharashtra,Tarkarli,Tarkarli Beach,Beach,2.0,4.6,1.0,No,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/19/79/56/tarkarli-beach.jpg?w=1200&h=1200&s=1,,,,
Central,Madhya Pradesh,Pachmarhi,Bee Falls,Waterfall,1.5,4.6,15.0,No,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/33/53/06/photo0jpg.jpg?w=900&h=500&s=1,,,,
Central,Madhya Pradesh,Bhimbetka,Bhimbetka Rock Shelters,Prehistoric Site,2.0,4.6,25.0,No,https://upload.wikimedia.org/wikipedia/commons/9/91/Rock_Shelter_8%2C_Bhimbetka_02.jpg,,,,
Northern,Himachal Pradesh,Palampur,Tea Gardens,Tea Plantation,1.5,4.6,1.0,Yes,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/e9/52/a2/sunset-at-tata-tea-gardens.jpg?w=1200&h=-1&s=1,,,,
Northern,Himachal Pradesh,Mandi,Prashar Lake,Lake,1.5,4.6,1.0,No,https://upload.wikimedia.org/wikipedia/commons/7/75/Prashar_Lake_and_temple_%2CMandi_%2CHimachal_Pardesh.jpg,,,,
Northern,Himachal Pradesh,Manikaran,Manikaran Sahib,Gurudwara,1.0,4.6,1.0,No,https://upload.wikimedia.org/wikipedia/commons/c/c7/Outer_view_of_the_temple%27s_hot_water_well_and_the_parvati_river_flowing_by_it.jpg,,,,
Central,Uttar Pradesh,Agra,Taj Mahal,Mausoleum,2.0,4.6,51.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Taj_Mahal_%28Edited%29.jpeg/640px-Taj_Mahal_%28Edited%29.jpeg,,,,
Central,Uttar Pradesh,Sarnath,Dhamek Stupa,Monument,1.0,4.6,5.0,Yes,https://upload.wikimedia.org/wikipedia/commons/0/02/Dhamek_Stupa%2C_Sarnath.jpg,,,,
Northern,Jammu and Kashmir,Srinagar,Dal Lake,Lake,2.0,4.6,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Dal_Lake_Hazratbal_Srinagar.jpg/800px-Dal_Lake_Hazratbal_Srinagar.jpg,,,,
Northern,Jammu and Kashmir,Pahalgam,Betaab Valley,Valley,2.0,4.6,111.0,No,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/71/3f/53/betaab-valley.jpg?w=1200&h=1200&s=1,,,,
Eastern,West Bengal,Hooghly,Hangseswari Temple,Temple,0.5,4.6,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/0/07/Hanseswari_Mandir.jpg,,,,
Eastern,Odisha,Bhubaneswar,Lingaraj Temple,Temple,1.0,4.6,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/8/83/LINGARAJ_TEMPLE_AMLAN_BISWAL_2024.jpg,,,,
Eastern,Odisha,Berhampur,Tara Tarini Temple,Temple,1.0,4.6,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/b/bb/Taratarini_maa.jpg,,,,
Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,1.5,4.6,1.0,No,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Ramanathaswamy_temple7.JPG/1200px-Ramanathaswamy_temple7.JPG,,,,
Southern,Tamil Nadu,Kanyakumari,Vivekananda Rock Memorial,Memorial,1.0,4.6,21.0,Yes,https://upload.wikimedia.org/wikipedia/commons/b/b6/RockMemorial.jpg,,,,
Southern,Tamil Nadu,Mahabalipuram,Shore Temple,Temple,1.0,4.6,41.0,Yes,https://upload.wikimedia.org/wikipedia/commons/7/74/Shore_Temple_-Mamallapuram_-Tamil_Nadu_-N-TN-C55.jpg,,,,
Southern,Tamil Nadu,Tirunelveli,Nellaiappar Temple,Temple,1.0,4.6,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/b/b8/Tirnelveli_Gandhimathiamman_Temple_Tower.JPG,,,,
Southern,Andhra Pradesh,Anantapur,Lepakshi,Site,1.5,4.6,1.0,No,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Front_side_of_Veerabhadra_Temple%2C_Lepakshi.jpg/1200px-Front_side_of_Veerabhadra_Temple%2C_Lepakshi.jpg,,,,
Southern,Andhra Pradesh,Visakhapatnam,Submarine Museum,Museum,1.0,4.6,41.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Submarine_Museum.JPG/1200px-Submarine_Museum.JPG,,,,
Eastern,Sikkim,Pelling,Pemayangtse Monastery,Monastery,1.0,4.6,21.0,No,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/39/80/4e/pemayangtse-monastery.jpg?w=900&h=500&s=1,,,,
Eastern,Sikkim,Gangtok,Rumtek Monastery,Monastery,1.0,4.6,11.0,Yes,https://upload.wikimedia.org/wikipedia/commons/e/e5/Vikramjit-Kakati-Rumtek.jpg,,,,
North Eastern,Assam,Guwahati,Kamakhya Temple,Temple,2.0,4.6,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Kamakhya_Temple%2C_Guwahati.jpg/1200px-Kamakhya_Temple%2C_Guwahati.jpg,,,,
North Eastern,Assam,Manas,Manas National Park,National Park,3.0,4.6,511.0,No,https://upload.wikimedia.org/wikipedia/commons/d/d8/Manas_National_Park.jpg,,,,
Central,Chhattisgarh,Bastar,Chitrakote Falls,Waterfall,1.5,4.6,1.0,No,https://upload.wikimedia.org/wikipedia/commons/9/91/Chitrakot_waterfalls.JPG,,,,
Western,Daman and Diu,Diu,Diu Fort,Fort,1.5,4.6,1.0,No,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/53/f4/8e/beutiful-place.jpg?w=900&h=500&s=1,,,,
Eastern,Jharkhand,Ranchi,Pahari Mandir,Temple,1.0,4.6,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/0/0d/Pahari_Mandir_-_Ranchi_Hill_9243.JPG,,,,
Northern,Haryana,Gurugram,Ambience Mall,Mall,2.0,4.6,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/6/62/Mango_atrium_at_Ambience_Mall%2C_Gurgaon.jpg,,,,
Central,Uttar Pradesh,Noida,DLF Mall of India,Mall,2.0,4.6,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/3/3f/DLF_Mall_of_India.jpg,,,,
Northern,Delhi,Delhi,Humayun's Tomb,Tomb,2.0,4.5,31.0,Yes,https://whc.unesco.org/uploads/thumbs/site_0232_0005-750-750-20210425155601.jpg,,,,
Northern,Delhi,Delhi,Lotus Temple,Temple,1.0,4.5,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/LotusDelhi.jpg/800px-LotusDelhi.jpg,,,,
Northern,Delhi,Delhi,Red Fort,Fort,2.0,4.5,35.0,Yes,https://cdn.britannica.com/20/189820-050-D650A54D/Red-Fort-Old-Delhi-India.jpg,,,,
Northern,Delhi,Delhi,Lodhi Garden,Park,1.0,4.5,1.0,Yes,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/14/cf/80/lodi-gardens.jpg?w=1200&h=1200&s=1,,,,
Northern,Delhi,Delhi,National Gallery of Modern Art,Museum,3.0,4.5,21.0,Yes,https://upload.wikimedia.org/wikipedia/commons/3/31/Jaipur_House_Delhi.jpg,,,,
Northern,Delhi,Delhi,Qutub Minar,Monument,1.0,4.5,35.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Qutb_Minar_2011.jpg/200px-Qutb_Minar_2011.jpg,,,,
Western,Maharastra,Mumbai,Marine Drive,Promenade,2.0,4.5,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Marine_Drive_Skyline.jpg/800px-Marine_Drive_Skyline.jpg,,,,
Southern,Telangana,Hyderabad,Charminar,Landmark,1.0,4.5,25.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Charminar_Hyderabad_1.jpg/800px-Charminar_Hyderabad_1.jpg,,,,
Southern,Goa,Goa,Basilica of Bom Jesus,Church,1.0,4.5,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Basilica_of_bom_jesus_-_Front_View.jpg/1200px-Basilica_of_bom_jesus_-_Front_View.jpg,,,,
Southern,Goa,Goa,Se Cathedral,Church,1.0,4.5,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/7/72/Se%E2%80%99_Cathedral%2C_Goa.jpg,,,,
Southern,Goa,Goa,Baga Beach,Beach,2.0,4.5,1.0,Yes,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/3e/36/95/baga-sea-beach.jpg?w=1200&h=-1&s=1,,,,
Southern,Goa,Goa,Aguada Beach,Beach,2.0,4.5,1.0,Yes,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/30/bd/4c/photo2jpg.jpg?w=1200&h=-1&s=1,,,,
Western,Gujarat,Junagadh,Gir National Park,National Park,3.0,4.5,3511.0,No,https://upload.wikimedia.org/wikipedia/commons/9/90/Gir_lion-Gir_forest%2Cjunagadh%2Cgujarat%2Cindia.jpeg,,,,
Western,Gujarat,Gandhinagar,Dandi Kutir,Museum,1.5,4.5,1.0,No,https://dandi-kutir.com/wp-content/uploads/2023/07/Picture2.jpg,,,,
Western,Gujarat,Ahmedabad,Kankaria Lake,Lake,3.0,4.5,11.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Kankaria_Carnival_2_Ahmedabad.JPG/1200px-Kankaria_Carnival_2_Ahmedabad.JPG,,,,
Northern,Rajasthan,Bikaner,Junagarh Fort,Fort,2.0,4.5,51.0,Yes,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/38/91/24/outside-of-the-fort.jpg?w=900&h=-1&s=1,,,,
Northern,Rajasthan,Jaipur,Jaigarh Fort,Fort,1.5,4.5,35.0,Yes,https://upload.wikimedia.org/wikipedia/commons/3/34/Rajasthan-Jaipur-Jaigarh-Fort-compound-Apr-2004-00.JPG,,,,
Northern,Punjab,Chandigarh,Rock Garden,Sculpture Garden,2.0,4.5,31.0,Yes,https://www.thespruce.com/thmb/tO_j4ToZ8KXEhNAzpS0atlzCF2M=/2048x0/filters:no_upscale():max_bytes(150000):strip_icc()/how-to-build-rock-gardens-2132674-hero-0ca8dc4580c9495c8fea6ed3db29f92f.jpg,,,,
Southern,Kerala,Alappuzha,Alappuzha Beach,Beach,1.5,4.5,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Alleppey_beach.jpg/1200px-Alleppey_beach.jpg,,,,
Southern,Kerala,Wayanad,Wayanad Wildlife Sanctuary,Wildlife Sanctuary,3.0,4.5,311.0,No,https://upload.wikimedia.org/wikipedia/commons/1/11/Wayanad_Wild_Life_Sanctuary.JPG,,,,
Southern,Kerala,Bekal,Bekal Fort,Fort,1.5,4.5,21.0,No,https://upload.wikimedia.org/wikipedia/commons/7/74/Bekal.jpg,,,,
Southern,Kerala,Nelliyampathy,Seethargundu Viewpoint,Viewpoint,1.0,4.5,1.0,No,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/4e/3a/91/seethargundu-viewpoint.jpg?w=1200&h=1200&s=1,,,,
Southern,Karnataka,Gokarna,Om Beach,Beach,2.0,4.5,1.0,No,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/53/5e/7f/om-beach.jpg?w=900&h=500&s=1,,,,
Southern,Karnataka,Chikmagalur,Mullayanagiri,Mountain Peak,3.0,4.5,1.0,No,https://i0.wp.com/weekendyaari.in/wp-content/uploads/2024/11/Mullayanagiri-scaled.webp?fit=2560%2C1322&ssl=1,,,,
Southern,Karnataka,Mangalore,Panambur Beach,Beach,1.5,4.5,1.0,Yes,https://karnatakatourism.org/wp-content/uploads/2020/06/Panambur-Beach-800x450-1.jpg,,,,
Southern,Karnataka,Bijapur,Gol Gumbaz,Mausoleum,1.5,4.5,21.0,No,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Gol_Gumbaj2.JPG/640px-Gol_Gumbaj2.JPG,,,,
Western,Maharastra,Nagpur,Deekshabhoomi,Monument,1.0,4.5,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/3/38/Deekshabhoomi_-_panoramio.jpg,,,,
Central,Madhya Pradesh,Gwalior,Gwalior Fort,Fort,2.5,4.5,75.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Gwalior_Fort_front.jpg/1200px-Gwalior_Fort_front.jpg,,,,
Central,Madhya Pradesh,Jabalpur,Dhuandhar Falls,Waterfall,1.0,4.5,1.0,No,https://upload.wikimedia.org/wikipedia/commons/d/d0/Dhuandhar_Waterfalls_in_Bhedaghat%2C_India.jpg,,,,
Central,Madhya Pradesh,Kanha,Kanha National Park,Wildlife Sanctuary,3.0,4.5,111.0,No,https://upload.wikimedia.org/wikipedia/commons/1/1f/Tiger_Kanha_National_Park.jpg,,,,
Central,Madhya Pradesh,Bandhavgarh,Bandhavgarh National Park,National Park,3.0,4.5,51.0,No,https://www.bandhavgarh.net/wp-content/uploads/2023/03/bandhavgarh-national-park-gate.webp,,,,
Northern,Himachal Pradesh,Dalhousie,Khajjiar Lake,Lake,1.5,4.5,1.0,No,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Khajjiar.jpg/1200px-Khajjiar.jpg,,,,
Northern,Himachal Pradesh,Kullu,Great Himalayan National Park,National Park,3.0,4.5,51.0,No,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Himalayn_National_Park_01.jpg/1200px-Himalayn_National_Park_01.jpg,,,,
Northern,Himachal Pradesh,Kinnaur,Sangla Valley,Valley,2.0,4.5,1.0,No,https://www.india.com/wp-content/uploads/2018/08/Sangla-Valley.jpg,,,,
Northern,Himachal Pradesh,Narkanda,Hatu Peak,Viewpoint,2.0,4.5,1.0,Yes,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/cd/de/8c/hatu-peak.jpg?w=1200&h=-1&s=1,,,,
Northern,Uttarakhand,Haridwar,Har Ki Pauri,Ghat,1.0,4.5,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Evening_view_of_Har-ki-Pauri%2C_Haridwar.jpg/640px-Evening_view_of_Har-ki-Pauri%2C_Haridwar.jpg,,,,
Northern,Uttarakhand,Dehradun,Robber's Cave,Cave,1.5,4.5,25.0,Yes,https://d1pk12b7bb81je.cloudfront.net/thumbor/o351uGqYDHJbvUVOv7pk1r1-SrE=/full-fit-in/800x800/https://d1pk12b7bb81je.cloudfront.net/okdataengine/appmedia/images/117/117542/Robbers%20Cave%20Oct%202019_LD_5283.jpeg.jpg,,,,
Northern,Uttarakhand,Auli,Auli Ski Resort,Ski Resort,3.0,4.5,1.0,No,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/f5/86/af/cliff-top-club.jpg?w=1200&h=-1&s=1,,,,
Central,Uttar Pradesh,Allahabad,Triveni Sangam,Confluence,1.0,4.5,1.0,Yes,https://travelsetu.com/apps/uploads/new_destinations_photos/destination/2024/01/05/e5c371fa9c1bbfb486c1a85f7364cd2f_1000x1000.png,,,,
Northern,Jammu and Kashmir,Anantnag,Amarnath Cave,Temple,6.0,4.5,1.0,No,https://upload.wikimedia.org/wikipedia/commons/6/66/Cave_Temple_of_Lord_Amarnath.jpg,,,,
Northern,Ladakh,Nubra Valley,Nubra Valley,Valley,2.0,4.5,1.0,No,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/b9/e6/1c/nubra-valley.jpg?w=1200&h=-1&s=1,,,,
Northern,Ladakh,Leh,Khardung La Pass,Hill,1.0,4.5,1.0,Yes,https://peopleoftheplanet.com/wp-content/uploads/2018/10/the-highest-road-in-the-world-snow.png,,,,
Eastern,West Bengal,Darjeeling,Tiger Hill,Sunrise Point,1.0,4.5,1.0,No,https://upload.wikimedia.org/wikipedia/commons/d/d8/Tiger_Hill_Darjeeling_West_Bengal_India_%283%29.JPG,,,,
Eastern,West Bengal,Digha,Digha Beach,Beach,1.5,4.5,1.0,No,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/00/60/71/digha-beach.jpg?w=1200&h=1200&s=1,,,,
Eastern,West Bengal,Murshidabad,Hazarduari Palace,Palace,1.5,4.5,11.0,Yes,https://upload.wikimedia.org/wikipedia/commons/e/e8/Hazarduari01_debaditya_chatterjee.jpg,,,,
Eastern,West Bengal,Cooch Behar,Cooch Behar Palace,Palace,1.0,4.5,21.0,Yes,https://upload.wikimedia.org/wikipedia/commons/8/81/The_Cooch_Behar_Palace_or_the_Cooch_Behar_Rajbari%2C_Cooch_Behar_District%2C_West_Bengal%2C_India_01.jpg,,,,
Eastern,West Bengal,Purulia,Ayodhya Hills,Hill,2.5,4.5,1.0,No,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/7c/8f/6f/ajodhya-hill-area.jpg?w=1200&h=1200&s=1,,,,
Eastern,Odisha,Rourkela,Khandadhar Waterfall,Waterfall,1.5,4.5,1.0,No,https://upload.wikimedia.org/wikipedia/commons/6/68/Khandadhar_Waterfall.jpg,,,,
Eastern,Odisha,Cuttack,Barabati Fort,Fort,1.0,4.5,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/9/95/Entrance_of_Barabati_fort.jpg,,,,
Eastern,Odisha,Sambalpur,Hirakud Dam,Dam,1.0,4.5,1.0,No,https://upload.wikimedia.org/wikipedia/commons/0/00/Hirakud_Dam.jpg,,,,
Southern,Andhra Pradesh,Visakhapatnam,Rishikonda Beach,Beach,1.5,4.5,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/a/a5/Rushikonda_beach_view_001.jpg,,,,
Southern,Andhra Pradesh,Kadapa,Gandikota Fort,Fort,1.5,4.5,1.0,No,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/4a/20/f2/grand-canyon-of-india.jpg?w=1200&h=1200&s=1,,,,
Southern,Andhra Pradesh,Visakhapatnam,Kailasagiri,Hill,2.0,4.5,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/7/7a/Kailasagiri.jpg,,,,
Southern,Andhra Pradesh,Visakhapatnam,Borra Caves,Cave,2.0,4.5,61.0,No,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/9d/80/6a/borra-caves.jpg?w=1200&h=1200&s=1,,,,
North Eastern,Assam,Kaziranga,Kaziranga National Park,National Park,3.0,4.5,651.0,No,https://upload.wikimedia.org/wikipedia/commons/f/fe/Beauty_of_Kaziranga_National_Park.jpg,,,,
North Eastern,Assam,Hajo,Hayagriva Madhava Temple,Temple,1.0,4.5,1.0,No,https://upload.wikimedia.org/wikipedia/commons/c/c7/Hagriva_Madhava_Temple_side_view2.jpg,,,,
North Eastern,Tripura,Agartala,Ujjayanta Palace,Palace,1.5,4.5,11.0,Yes,https://upload.wikimedia.org/wikipedia/commons/c/c8/Ujjayanta_palace_Tripura_State_Museum_Agartala_India.jpg,,,,
North Eastern,Tripura,Dumboor,Dumboor Lake,Lake,1.0,4.5,1.0,No,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/9e/e0/9c/dumbor-lake.jpg?w=1200&h=-1&s=1,,,,
North Eastern,Tripura,Unakoti,Unakoti Rock Carvings,Rock Carvings,1.5,4.5,21.0,No,https://upload.wikimedia.org/wikipedia/commons/f/f0/Unakoti_3.jpg,,,,
Southern,Puducherry,Puducherry,Promenade Beach,Beach,1.0,4.5,1.0,Yes,https://static.toiimg.com/photo/48552994.cms,,,,
Southern,Puducherry,Puducherry,Paradise Beach,Beach,1.0,4.5,211.0,Yes,https://www.paradisebeachcozumel.com/sites/default/files/styles/565_675_focal_point/public/2024-01/sup-fun-pass-paradise-beach-cozumel.png.webp?itok=yJHeAnrJ,,,,
Southern,Andaman and Nicobar Islands,Neil Island,Bharatpur Beach,Beach,1.0,4.5,1.0,No,http://be.discoverandaman.in/storage/uploads/2024/2/8e7965b3-74e6-478a-bcda-088346037edd.jpeg,,,,
Western,Daman and Diu,Diu,Naida Caves,Cave,1.0,4.5,1.0,No,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/a3/00/53/img-20161116-140018-largejpg.jpg?w=1200&h=-1&s=1,,,,
Southern,Karnataka,Bengaluru,Wonderla Amusement Park,Amusement Park,4.0,4.5,891.0,Yes,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/b4/a3/72/flash-tower-is-a-shoot.jpg?w=1200&h=1200&s=1,,,,
Northern,Delhi,Delhi,National Science Centre,Science,5.0,4.4,71.0,Yes,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/a7/60/38/nice-experience.jpg?w=1200&h=1200&s=1,,,,
Western,Maharastra,Mumbai,Haji Ali Dargah,Religious Shrine,2.0,4.4,1.0,Yes,https://upload.wikimedia.org/wikipedia/commons/c/ca/Mumbai_03-2016_12_Haji_Ali_Dargah.jpg,,,,
Southern,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,1.5,4.4,21.0,Yes,https://upload.wikimedia.org/wikipedia/commons/d/d5/Glasshouse_and_fountain_at_lalbagh.jpg,,,,
Southern,Karnataka,Bangalore,Cubbon Park,Park,1.0,4.4,1.0,Yes,https://travelsetu.com/apps/uploads/new_destinations_photos/destination/2023/12/22/b22be5abb14d39eb918bf2f3e91af4de_1000x1000.jpg,,,,
Southern,Telangana,Hyderabad,Golconda Fort,Fort,2.0,4.4,31.0,Yes,https://upload.wikimedia.org/wikipedia/commons/5/56/Golconda_Fort_005.jpg,,,,
Southern,Telangana,Hyderabad,Ramoji Film City,Film Studio,4.0,4.4,1151.0,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Ramoji_Film_City.jpg/800px-Ramoji_Film_City.jpg,,,,
